,year,province,immigrant_status,labour_force_character,gender,age_group,metrics,total
114749,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,15 to 24 years,Persons,49.0
114750,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,25 to 54 years,Persons,304.0
114751,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,55 years and over,Persons,14.0
114753,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,15 to 24 years,Persons,42.0
114754,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,25 to 54 years,Persons,256.0
114755,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,55 years and over,Persons,6.0
114761,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,15 to 24 years,Persons,29.0
114762,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,25 to 54 years,Persons,278.0
114763,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,55 years and over,Persons,10.0
114765,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,15 to 24 years,Persons,19.0
114766,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,25 to 54 years,Persons,208.0
114767,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,55 years and over,Persons,5.0
114773,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,15 to 24 years,Persons,20.0
114774,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,25 to 54 years,Persons,27.0
114775,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,55 years and over,Persons,4.0
114777,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,15 to 24 years,Persons,23.0
114778,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,25 to 54 years,Persons,48.0
114779,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,55 years and over,Persons,
114785,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,15 to 24 years,Persons,5.0
114786,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,25 to 54 years,Persons,21.0
114787,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,55 years and over,Persons,2.0
114789,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,15 to 24 years,Persons,7.0
114790,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,25 to 54 years,Persons,28.0
114791,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,55 years and over,Persons,
114797,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,15 to 24 years,Persons,32.0
114798,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,25 to 54 years,Persons,40.0
114799,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,55 years and over,Persons,18.0
114801,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,15 to 24 years,Persons,38.0
114802,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,25 to 54 years,Persons,141.0
114803,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,55 years and over,Persons,39.0
115445,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,15 to 24 years,Persons,89.0
115446,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,25 to 54 years,Persons,368.0
115447,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,55 years and over,Persons,34.0
115449,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,15 to 24 years,Persons,91.0
115450,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,25 to 54 years,Persons,420.0
115451,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,55 years and over,Persons,48.0
115457,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,15 to 24 years,Persons,60.0
115458,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,25 to 54 years,Persons,329.0
115459,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,55 years and over,Persons,16.0
115461,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,15 to 24 years,Persons,51.0
115462,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,25 to 54 years,Persons,279.0
115463,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,55 years and over,Persons,9.0
115469,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,15 to 24 years,Persons,54.0
115470,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,25 to 54 years,Persons,307.0
115471,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,55 years and over,Persons,14.0
115473,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,15 to 24 years,Persons,43.0
115474,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,25 to 54 years,Persons,250.0
115475,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,55 years and over,Persons,7.0
115481,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,15 to 24 years,Persons,31.0
115482,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,25 to 54 years,Persons,280.0
115483,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,55 years and over,Persons,10.0
115485,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,15 to 24 years,Persons,22.0
115486,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,25 to 54 years,Persons,202.0
115487,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,55 years and over,Persons,5.0
115493,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,15 to 24 years,Persons,22.0
115494,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,25 to 54 years,Persons,27.0
115495,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,55 years and over,Persons,4.0
115497,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,15 to 24 years,Persons,21.0
115498,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,25 to 54 years,Persons,47.0
115499,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,55 years and over,Persons,2.0
115505,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,15 to 24 years,Persons,6.0
115506,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,25 to 54 years,Persons,22.0
115507,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,55 years and over,Persons,2.0
115509,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,15 to 24 years,Persons,8.0
115510,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,25 to 54 years,Persons,30.0
115511,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,55 years and over,Persons,2.0
115517,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,15 to 24 years,Persons,29.0
115518,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,25 to 54 years,Persons,40.0
115519,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,55 years and over,Persons,18.0
115521,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,15 to 24 years,Persons,40.0
115522,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,25 to 54 years,Persons,140.0
115523,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,55 years and over,Persons,39.0
116165,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,15 to 24 years,Persons,90.0
116166,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,25 to 54 years,Persons,371.0
116167,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,55 years and over,Persons,33.0
116169,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,15 to 24 years,Persons,94.0
116170,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,25 to 54 years,Persons,418.0
116171,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,55 years and over,Persons,47.0
116177,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,15 to 24 years,Persons,65.0
116178,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,25 to 54 years,Persons,334.0
116179,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,55 years and over,Persons,16.0
116181,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,15 to 24 years,Persons,56.0
116182,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,25 to 54 years,Persons,278.0
116183,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,55 years and over,Persons,9.0
116189,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,15 to 24 years,Persons,58.0
116190,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,25 to 54 years,Persons,310.0
116191,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,55 years and over,Persons,14.0
116193,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,15 to 24 years,Persons,46.0
116194,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,25 to 54 years,Persons,247.0
116195,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,55 years and over,Persons,7.0
116201,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,15 to 24 years,Persons,34.0
116202,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,25 to 54 years,Persons,282.0
116203,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,55 years and over,Persons,10.0
116205,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,15 to 24 years,Persons,26.0
116206,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,25 to 54 years,Persons,200.0
116207,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,55 years and over,Persons,5.0
116213,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,15 to 24 years,Persons,24.0
116214,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,25 to 54 years,Persons,27.0
116215,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,55 years and over,Persons,4.0
116217,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,15 to 24 years,Persons,20.0
116218,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,25 to 54 years,Persons,46.0
116219,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,55 years and over,Persons,2.0
116225,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,15 to 24 years,Persons,7.0
116226,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,25 to 54 years,Persons,24.0
116227,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,55 years and over,Persons,2.0
116229,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,15 to 24 years,Persons,9.0
116230,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,25 to 54 years,Persons,31.0
116231,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,55 years and over,Persons,2.0
116237,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,15 to 24 years,Persons,25.0
116238,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,25 to 54 years,Persons,37.0
116239,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,55 years and over,Persons,17.0
116241,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,15 to 24 years,Persons,38.0
116242,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,25 to 54 years,Persons,140.0
116243,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,55 years and over,Persons,38.0
116885,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,15 to 24 years,Persons,88.0
116886,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,25 to 54 years,Persons,374.0
116887,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,55 years and over,Persons,31.0
116889,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,15 to 24 years,Persons,96.0
116890,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,25 to 54 years,Persons,418.0
116891,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,55 years and over,Persons,46.0
116897,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,15 to 24 years,Persons,63.0
116898,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,25 to 54 years,Persons,337.0
116899,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,55 years and over,Persons,16.0
116901,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,15 to 24 years,Persons,59.0
116902,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,25 to 54 years,Persons,281.0
116903,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,55 years and over,Persons,9.0
116909,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,15 to 24 years,Persons,57.0
116910,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,25 to 54 years,Persons,313.0
116911,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,55 years and over,Persons,14.0
116913,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,15 to 24 years,Persons,50.0
116914,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,25 to 54 years,Persons,248.0
116915,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,55 years and over,Persons,7.0
116921,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,15 to 24 years,Persons,30.0
116922,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,25 to 54 years,Persons,285.0
116923,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,55 years and over,Persons,10.0
116925,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,15 to 24 years,Persons,27.0
116926,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,25 to 54 years,Persons,205.0
116927,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,55 years and over,Persons,4.0
116933,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,15 to 24 years,Persons,26.0
116934,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,25 to 54 years,Persons,27.0
116935,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,55 years and over,Persons,4.0
116937,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,15 to 24 years,Persons,23.0
116938,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,25 to 54 years,Persons,43.0
116939,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,55 years and over,Persons,2.0
116945,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,15 to 24 years,Persons,7.0
116946,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,25 to 54 years,Persons,24.0
116947,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,55 years and over,Persons,2.0
116949,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,15 to 24 years,Persons,10.0
116950,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,25 to 54 years,Persons,33.0
116951,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,55 years and over,Persons,2.0
116957,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,15 to 24 years,Persons,25.0
116958,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,25 to 54 years,Persons,37.0
116959,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,55 years and over,Persons,15.0
116961,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,15 to 24 years,Persons,36.0
116962,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,25 to 54 years,Persons,136.0
116963,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,55 years and over,Persons,37.0
117605,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,15 to 24 years,Persons,90.0
117606,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,25 to 54 years,Persons,377.0
117607,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,55 years and over,Persons,32.0
117609,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,15 to 24 years,Persons,94.0
117610,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,25 to 54 years,Persons,426.0
117611,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,55 years and over,Persons,46.0
117617,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,15 to 24 years,Persons,62.0
117618,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,25 to 54 years,Persons,339.0
117619,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,55 years and over,Persons,17.0
117621,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,15 to 24 years,Persons,60.0
117622,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,25 to 54 years,Persons,290.0
117623,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,55 years and over,Persons,8.0
117629,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,15 to 24 years,Persons,56.0
117630,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,25 to 54 years,Persons,315.0
117631,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,55 years and over,Persons,14.0
117633,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,15 to 24 years,Persons,51.0
117634,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,25 to 54 years,Persons,256.0
117635,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,55 years and over,Persons,5.0
117641,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,15 to 24 years,Persons,27.0
117642,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,25 to 54 years,Persons,287.0
117643,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,55 years and over,Persons,10.0
117645,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,15 to 24 years,Persons,25.0
117646,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,25 to 54 years,Persons,208.0
117647,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,55 years and over,Persons,4.0
117653,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,15 to 24 years,Persons,28.0
117654,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,25 to 54 years,Persons,28.0
117655,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,55 years and over,Persons,4.0
117657,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,15 to 24 years,Persons,26.0
117658,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,25 to 54 years,Persons,48.0
117659,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,55 years and over,Persons,2.0
117665,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,15 to 24 years,Persons,7.0
117666,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,25 to 54 years,Persons,24.0
117667,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,55 years and over,Persons,2.0
117669,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,15 to 24 years,Persons,9.0
117670,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,25 to 54 years,Persons,34.0
117671,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,55 years and over,Persons,2.0
117677,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,15 to 24 years,Persons,28.0
117678,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,25 to 54 years,Persons,38.0
117679,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,55 years and over,Persons,15.0
117681,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,15 to 24 years,Persons,34.0
117682,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,25 to 54 years,Persons,136.0
117683,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,55 years and over,Persons,38.0
118325,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,15 to 24 years,Persons,93.0
118326,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,25 to 54 years,Persons,379.0
118327,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,55 years and over,Persons,35.0
118329,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,15 to 24 years,Persons,90.0
118330,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,25 to 54 years,Persons,435.0
118331,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,55 years and over,Persons,47.0
118337,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,15 to 24 years,Persons,61.0
118338,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,25 to 54 years,Persons,341.0
118339,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,55 years and over,Persons,18.0
118341,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,15 to 24 years,Persons,55.0
118342,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,25 to 54 years,Persons,301.0
118343,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,55 years and over,Persons,8.0
118349,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,15 to 24 years,Persons,54.0
118350,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,25 to 54 years,Persons,317.0
118351,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,55 years and over,Persons,16.0
118353,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,15 to 24 years,Persons,46.0
118354,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,25 to 54 years,Persons,265.0
118355,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,55 years and over,Persons,5.0
118361,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,15 to 24 years,Persons,25.0
118362,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,25 to 54 years,Persons,287.0
118363,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,55 years and over,Persons,12.0
118365,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,15 to 24 years,Persons,20.0
118366,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,25 to 54 years,Persons,212.0
118367,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,55 years and over,Persons,3.0
118373,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,15 to 24 years,Persons,30.0
118374,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,25 to 54 years,Persons,30.0
118375,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Males,55 years and over,Persons,4.0
118377,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,15 to 24 years,Persons,26.0
118378,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,25 to 54 years,Persons,53.0
118379,2019,Canada,"Immigrants, landed 5 or less years earlier",Part-time employment,Females,55 years and over,Persons,2.0
118385,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,15 to 24 years,Persons,6.0
118386,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,25 to 54 years,Persons,24.0
118387,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Males,55 years and over,Persons,2.0
118389,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,15 to 24 years,Persons,8.0
118390,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,25 to 54 years,Persons,37.0
118391,2019,Canada,"Immigrants, landed 5 or less years earlier",Unemployment,Females,55 years and over,Persons,3.0
118397,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,15 to 24 years,Persons,33.0
118398,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,25 to 54 years,Persons,38.0
118399,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Males,55 years and over,Persons,17.0
118401,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,15 to 24 years,Persons,35.0
118402,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,25 to 54 years,Persons,134.0
118403,2019,Canada,"Immigrants, landed 5 or less years earlier",Not in labour force,Females,55 years and over,Persons,39.0
119045,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,15 to 24 years,Persons,96.0
119046,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,25 to 54 years,Persons,384.0
119047,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Males,55 years and over,Persons,38.0
119049,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,15 to 24 years,Persons,82.0
119050,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,25 to 54 years,Persons,441.0
119051,2019,Canada,"Immigrants, landed 5 or less years earlier",Population,Females,55 years and over,Persons,48.0
119057,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,15 to 24 years,Persons,60.0
119058,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,25 to 54 years,Persons,345.0
119059,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Males,55 years and over,Persons,20.0
119061,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,15 to 24 years,Persons,48.0
119062,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,25 to 54 years,Persons,307.0
119063,2019,Canada,"Immigrants, landed 5 or less years earlier",Labour force,Females,55 years and over,Persons,9.0
119069,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,15 to 24 years,Persons,54.0
119070,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,25 to 54 years,Persons,319.0
119071,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Males,55 years and over,Persons,18.0
119073,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,15 to 24 years,Persons,42.0
119074,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,25 to 54 years,Persons,271.0
119075,2019,Canada,"Immigrants, landed 5 or less years earlier",Employment,Females,55 years and over,Persons,5.0
119081,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,15 to 24 years,Persons,26.0
119082,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,25 to 54 years,Persons,288.0
119083,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Males,55 years and over,Persons,14.0
119085,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,15 to 24 years,Persons,18.0
119086,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,25 to 54 years,Persons,218.0
119087,2019,Canada,"Immigrants, landed 5 or less years earlier",Full-time employment,Females,55 years and over,Persons,3.0
